Bigram                                                     Count                              P(Without Smoothing)                         P(Add-one Smoothing)                         
('when', 'Congress')                                            1                           0.1111111111111111                       0.00011925347325740862
('Congress', 'was')                                             2                         0.011428571428571429                       0.00017712700005904233
('was', 'trying')                                               1                                        0.125                       0.00011926058437686345
('trying', 'to')                                                7                          0.01078582434514638                       0.00045947963930848316
('to', 'find')                                                  3                                          1.0                       0.00023859230539815092
('find', 'someone')                                             1                                          0.5                       0.00011930326890956812
('someone', 'or')                                               1                         0.017857142857142856                       0.00011892020454275182
('or', 'something')                                             1                          0.14285714285714285                       0.00011926769634444511
('something', 'to')                                             1                        0.0015408320493066256                       0.00011486990982712079
('blame', 'for')                                                1                          0.00641025641025641                       0.00011821728336682824
('for', 'the')                                                 39                          0.02727272727272727                        0.0021987686895338612
('the', 'Great')                                                1                                         0.25                       0.00011928903733746869
('Great', 'Depression')                                         1                                          1.0                       0.00011931038596909861
('Depression', ',')                                             1                        0.0004940711462450593                       0.00010646225912913872
(',', 'it')                                                    12                          0.12244897959183673                        0.0007710557532621589
('it', 'decided')                                               1                          0.14285714285714285                       0.00011926769634444511
('decided', 'to')                                               4                        0.0061633281972265025                       0.00028717477456780195
('to', 'drop')                                                  2                           0.2222222222222222                       0.00017888020988611293
('drop', 'both')                                                1                          0.16666666666666666                       0.00011927480916030534
('both', 'the')                                                 2                        0.0013986013986013986                       0.00016490765171503957
('the', 'secretary')                                            2                           0.3333333333333333                       0.00017891221374045802
('and', 'the')                                                 37                         0.025874125874125874                         0.002088830255057168
('the', 'comptroller')                                          2                                          1.0                       0.00017895490336435218
('comptroller', 'from')                                         1                         0.012195121951219513                       0.00011873664212776063
('from', 'the')                                                20                         0.013986013986013986                         0.001154353562005277
('board', '.')                                                 54                          0.05405405405405406                        0.0030966724846573953
('.', 'Treasury')                                               1                          0.08333333333333333                        0.0001192321449862883
('Treasury', 'Undersecretary')                                  1                                          0.5                       0.00011930326890956812
('Undersecretary', 'David')                                     1                          0.05263157894736842                       0.00011918240867647935
('Mulford', ',')                                                1                        0.0004940711462450593                       0.00010646225912913872
(',', 'for')                                                    6                         0.038461538461538464                        0.0004137604917838988
('for', 'instance')                                             1                                          1.0                       0.00011931038596909861
('instance', ',')                                               1                        0.0004940711462450593                       0.00010646225912913872
('was', 'at')                                                   2                                         0.02                       0.00017791483809749734
('at', 'a')                                                    16                         0.027491408934707903                        0.0009801660516605166
('a', 'meeting')                                                2                          0.09090909090909091                       0.00017874165872259294
('meeting', 'of')                                               1                        0.0010660980810234541                       0.00011299435028248587
('the', 'Business')                                             3                                        0.375                        0.0002385211687537269
('Business', 'Council')                                         3                           0.3333333333333333                       0.00023850694651481724
('Council', 'in')                                               1                         0.002785515320334262                       0.00011681560656503709
('Hot', 'Springs')                                              1                                          1.0                       0.00011931038596909861
('Springs', ',')                                                1                        0.0004940711462450593                       0.00010646225912913872
(',', 'Va.')                                                    1                                          1.0                       0.00011931038596909861
('Va.', ',')                                                    1                        0.0004940711462450593                       0.00010646225912913872
('when', 'the')                                                 5                        0.0034965034965034965                       0.00032981530343007914
('the', 'stock')                                                8                                          0.2                        0.0005356505177955005
('stock', 'market')                                             4                          0.08888888888888889                       0.00029749509133099306
('market', 'fell')                                              1                                         0.25                       0.00011928903733746869
('fell', ',')                                                   1                        0.0004940711462450593                       0.00010646225912913872
(',', 'and')                                                   81                          0.11964549483013294                         0.004702104478467802
('and', 'remained')                                             1                                          1.0                       0.00011931038596909861
('remained', 'there')                                           1                          0.05555555555555555                       0.00011918951132300358
('through', 'the')                                              9                         0.006293706293706294                        0.0005496921723834653
('the', 'following')                                            1                                          0.5                       0.00011930326890956812
('following', 'day')                                            1                           0.1111111111111111                       0.00011925347325740862
('day', '.')                                                    1                         0.001001001001001001                       0.00011260627216935983
('.', 'He')                                                    28                                          0.8                        0.0017264987795439662
('He', 'will')                                                  5                         0.043859649122807015                         0.000355534486845224
('remain', 'chairman')                                          4                         0.007220216606498195                       0.00028875028875028876
('chairman', '.')                                              36                         0.036036036036036036                         0.002083216035133157
('.', 'The')                                                  116                           0.7631578947368421                         0.006917346576800284
('The', 'memo')                                                 1                                          0.5                       0.00011930326890956812
('attempts', 'to')                                              2                        0.0030816640986132513                       0.00017230486474068118
('to', 'remove')                                                2                                          1.0                       0.00017895490336435218
('remove', 'the')                                               1                        0.0006993006993006993                       0.00010993843447669306
('the', 'tourist')                                              3                                          1.0                       0.00023859230539815092
('tourist', 'board')                                            3                          0.00819672131147541                       0.00023353573096683791
('board', 'as')                                                 4                          0.02666666666666667                        0.0002956480605487228
('as', 'far')                                                   1                                          0.2                       0.00011928192282459593
('far', 'as')                                                   1                         0.006666666666666667                       0.00011825922421948912
('as', 'possible')                                              1                           0.3333333333333333                       0.00011929615269907546
('possible', 'from')                                            1                         0.012195121951219513                       0.00011873664212776063
('agency', ',')                                                 1                        0.0004940711462450593                       0.00010646225912913872
(',', 'which')                                                 32                           0.6808510638297872                        0.0019632339817954665
('which', 'pleaded')                                            1                                          1.0                       0.00011931038596909861
('pleaded', 'innocent')                                         1                                          1.0                       0.00011931038596909861
('innocent', 'to')                                              1                        0.0015408320493066256                       0.00011486990982712079
('to', 'the')                                                  77                          0.05384615384615385                         0.004287598944591029
('the', 'charges')                                              1                           0.3333333333333333                       0.00011929615269907546
('charges', '.')                                                1                         0.001001001001001001                       0.00011260627216935983
('.', 'J.')                                                     1                         0.038461538461538464                       0.00011913271384322135
('J.', 'Michael')                                               1                          0.07692307692307693                       0.00011922503725782414
('Michael', 'Cook')                                             1                                          1.0                       0.00011931038596909861
('Cook', ',')                                                   1                        0.0004940711462450593                       0.00010646225912913872
('of', 'Deloitte')                                              1                                          1.0                       0.00011931038596909861
('Deloitte', ',')                                               1                        0.0004940711462450593                       0.00010646225912913872
(',', 'Haskins')                                                1                                          1.0                       0.00011931038596909861
('Haskins', '&')                                                1                                        0.025                       0.00011903344839900012
('&', 'Sells')                                                  1                           0.3333333333333333                       0.00011929615269907546
('Sells', 'International')                                      1                          0.08333333333333333                        0.0001192321449862883
('International', ',')                                          1                        0.0004940711462450593                       0.00010646225912913872
(',', 'said')                                                  95                          0.33807829181494664                         0.005632811124801971
('said', 'he')                                                 18                          0.20930232558139536                         0.001127730294396961
('believes', 'the')                                             1                        0.0006993006993006993                       0.00010993843447669306
('the', 'legal')                                                1                          0.14285714285714285                       0.00011926769634444511
('legal', 'action')                                             2                                          0.5                       0.00017893355600620304
('action', 'by')                                                1                         0.007407407407407408                       0.00011836420666390484
('British', 'firm')                                             1                         0.034482758620689655                       0.00011911142874158776
('firm', '``')                                                  1                         0.004032258064516129                       0.00011757789535567314
('``', 'to')                                                    4                        0.0061633281972265025                       0.00028717477456780195
('to', 'be')                                                   27                                         0.25                        0.0016597510373443983
('be', 'without')                                               1                                         0.25                       0.00011928903733746869
('without', 'merit')                                            1                                          1.0                       0.00011931038596909861
("''", 'Other')                                                 1                                         0.25                       0.00011928903733746869
('Other', 'conservatives')                                      1                                          1.0                       0.00011931038596909861
('conservatives', 'thought')                                    1                           0.3333333333333333                       0.00011929615269907546
('thought', 'to')                                               2                        0.0030816640986132513                       0.00017230486474068118
('be', 'on')                                                    2                         0.013333333333333334                       0.00017738883632923368
('on', 'the')                                                  58                          0.04055944055944056                        0.0032431838170624452
('the', 'administration')                                       2                          0.18181818181818182                       0.00017885888034340904
('administration', "'s")                                        1                        0.0025974025974025974                        0.0001166384790342334
("'s", 'short')                                                 1                                          0.5                       0.00011930326890956812
('list', 'include')                                             1                          0.14285714285714285                       0.00011926769634444511
('include', 'Washington')                                       1                          0.16666666666666666                       0.00011927480916030534
('Washington', 'lawyer')                                        1                                          1.0                       0.00011931038596909861
('lawyer', 'Michael')                                           1                          0.07692307692307693                       0.00011922503725782414
('Michael', 'Uhlmann')                                          1                                          1.0                       0.00011931038596909861
('Uhlmann', ',')                                                1                        0.0004940711462450593                       0.00010646225912913872
('who', 'was')                                                 10                          0.05714285714285714                        0.0006494656668831553
('was', 'passed')                                               1                                          0.5                       0.00011930326890956812
('passed', 'over')                                              1                         0.047619047619047616                       0.00011916820592265983
('the', 'No.')                                                  1                                          1.0                       0.00011931038596909861
('No.', '2')                                                    1                          0.14285714285714285                       0.00011926769634444511
('2', 'job')                                                    1                                          0.2                       0.00011928192282459593
('job', 'at')                                                   1                                         0.01                       0.00011860989206499822
('at', 'the')                                                  26                          0.01818181818181818                         0.001484168865435356
('the', 'Justice')                                              1                                          1.0                       0.00011931038596909861
('Justice', 'Department')                                       1                           0.3333333333333333                       0.00011929615269907546
('Department', ',')                                             1                        0.0004940711462450593                       0.00010646225912913872
('and', 'Marshall')                                             1                                         0.25                       0.00011928903733746869
('Marshall', 'Breger')                                          1                                          1.0                       0.00011931038596909861
('Breger', ',')                                                 1                        0.0004940711462450593                       0.00010646225912913872
('of', 'a')                                                    23                          0.03951890034364261                        0.0013837638376383763
('a', 'U.S.')                                                   1                          0.07142857142857142                       0.00011921793037672866
('U.S.', 'agency')                                              1                          0.07142857142857142                       0.00011921793037672866
('agency', 'on')                                                1                         0.006666666666666667                       0.00011825922421948912
('on', 'administration')                                        1                          0.09090909090909091                        0.0001192392535622727
('administration', '.')                                         2                         0.002002002002002002                       0.00016890940825403975
('The', 'new')                                                  3                         0.045454545454545456                        0.0002376990729736154
('new', 'products')                                             1                          0.07692307692307693                       0.00011922503725782414
('products', 'allow')                                           1                           0.3333333333333333                       0.00011929615269907546
('customers', 'to')                                             1                        0.0015408320493066256                       0.00011486990982712079
('to', 'add')                                                   1                                          0.5                       0.00011930326890956812
('add', 'Convex')                                               1                                          0.5                       0.00011930326890956812
('Convex', 'machines')                                          1                                          1.0                       0.00011931038596909861
('machines', 'to')                                              1                        0.0015408320493066256                       0.00011486990982712079
('to', 'established')                                           1                           0.3333333333333333                       0.00011929615269907546
('established', 'systems')                                      1                                          0.2                       0.00011928192282459593
('systems', 'made')                                             1                          0.05263157894736842                       0.00011918240867647935
('made', 'by')                                                  1                         0.007407407407407408                       0.00011836420666390484
('by', 'other')                                                 1                          0.02857142857142857                       0.00011906888134785973
('manufacturers', ',')                                          1                        0.0004940711462450593                       0.00010646225912913872
('which', '``')                                                 1                         0.004032258064516129                       0.00011757789535567314
('``', 'opens')                                                 1                                          1.0                       0.00011931038596909861
('opens', 'up')                                                 1                                      0.03125                       0.00011909015124449208
('up', 'a')                                                     2                         0.003436426116838488                       0.00017297047970479704
('a', 'phenomenal')                                             1                                          1.0                       0.00011931038596909861
('phenomenal', 'market')                                        1                         0.022222222222222223                       0.00011899803653239721
('market', 'for')                                               1                          0.00641025641025641                       0.00011821728336682824
('for', 'us')                                                   4                           0.4444444444444444                       0.00029813368314352153
